"Name_Poetry_Books_name","Name_Poetry_Books_url","Name_Poetry_Books_Author","Name_Poetry_Books_Price","Name_Poetry_Books_Type_Copy","Name_Poetry_Books_Reviews","Name_Poetry_Books_Formats_Available","Name_Poetry_Books_Genre","Name_Poetry_Books_Product_details_Publisher","Name_Poetry_Books_Product_details_Language","Name_Poetry_Books_extract1"
"Whiskey Words & a Shovel I","https://www.amazon.com/Whiskey-Words-Shovel-r-h-Sin-ebook/dp/B06XB7TTDL/ref=zg_bs_10248_21/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","$8.49
Save $9.50 (53%)","Kindle Edition","109 customer reviews","Originally released in 2015, this re-rerelease packs the same punch as the first version, but makes an even greater connection with the soul of the reader. Each piece has been re-seen and revamped to reflect the author’s continuing journey with his partner, Samantha King, without whom this book would not exist. Samantha is the muse, the “she” the writer speaks of; she is every woman who has felt like she wasn’t good enough, and every woman who struggles to find love.","African-American Poetry","Publisher: Andrews McMeel Publishing; Revised edition (May 2, 2017)","","Whiskey Words & a Shovel I"
"Whiskey Words & a Shovel I","https://www.amazon.com/Whiskey-Words-Shovel-r-h-Sin-ebook/dp/B06XB7TTDL/ref=zg_bs_10248_21/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","$8.49
Save $9.50 (53%)","Kindle Edition","109 customer reviews","Originally released in 2015, this re-rerelease packs the same punch as the first version, but makes an even greater connection with the soul of the reader. Each piece has been re-seen and revamped to reflect the author’s continuing journey with his partner, Samantha King, without whom this book would not exist. Samantha is the muse, the “she” the writer speaks of; she is every woman who has felt like she wasn’t good enough, and every woman who struggles to find love.","African-American Poetry","","English","Whiskey Words & a Shovel I"
"Whiskey Words & a Shovel 2019 Deluxe…","https://www.amazon.com/Whiskey-Words-Shovel-Deluxe-Calendar/dp/144949417X/ref=zg_bs_10248_22/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","","","","Relationships, love, pain, and fortitude are powerfully rendered in r.h. Sin's poetry, and the Whiskey Words & a Shovel 2019 Day-to-Day Calendar presents his powerful message of perseverance that cuts to the heart of modern-day life.
Each page of this daily calendar features a poem specially selected by the author from his best-selling Whiskey Words & a Shovel series of books. And its cloth-covered wraparound binding and easel gives it a literary sophistication.","Poetry About Places","Language: English","","Whiskey Words & a Shovel 2019 Deluxe…"
"Whiskey Words & a Shovel 2019 Deluxe…","https://www.amazon.com/Whiskey-Words-Shovel-Deluxe-Calendar/dp/144949417X/ref=zg_bs_10248_22/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","","","","Relationships, love, pain, and fortitude are powerfully rendered in r.h. Sin's poetry, and the Whiskey Words & a Shovel 2019 Day-to-Day Calendar presents his powerful message of perseverance that cuts to the heart of modern-day life.
Each page of this daily calendar features a poem specially selected by the author from his best-selling Whiskey Words & a Shovel series of books. And its cloth-covered wraparound binding and easel gives it a literary sophistication.","Poetry About Places","","English","Whiskey Words & a Shovel 2019 Deluxe…"
"The Complete Poems and Plays, 1909–1950","https://www.amazon.com/Complete-Poems-Plays-1909-1950-ebook/dp/B00IHHQXHW/ref=zg_bs_10248_23/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","T. S. Eliot","$17.50","Kindle Edition","57 customer reviews","","","Publisher: Houghton Mifflin Harcourt; First edition (February 11, 2014)","","The Complete Poems and Plays, 1909–1950"
"The Complete Poems and Plays, 1909–1950","https://www.amazon.com/Complete-Poems-Plays-1909-1950-ebook/dp/B00IHHQXHW/ref=zg_bs_10248_23/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","T. S. Eliot","$17.50","Kindle Edition","57 customer reviews","","","","English","The Complete Poems and Plays, 1909–1950"
"Milk and Honey","https://www.amazon.com/Milk-Honey-Rupi-Kaur-ebook/dp/B015X5KBJG/ref=zg_bs_10248_24/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$8.49
Save $6.50 (43%)","Kindle Edition","5,715 customer reviews","The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look.","Religious & Inspirational Poetry","Publisher: Andrews McMeel Publishing (October 6, 2015)","","Milk and Honey"
"Milk and Honey","https://www.amazon.com/Milk-Honey-Rupi-Kaur-ebook/dp/B015X5KBJG/ref=zg_bs_10248_24/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Rupi Kaur","$8.49
Save $6.50 (43%)","Kindle Edition","5,715 customer reviews","The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look.","Religious & Inspirational Poetry","","English","Milk and Honey"
"for colored girls who have considered…","https://www.amazon.com/colored-girls-have-considered-suicide/dp/B004ADO5HC/ref=zg_bs_10248_25/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","","Audible Audiobook","204 customer reviews","This groundbreaking work of literature was originally written as an extended choreopoem, debuted on Broadway in 1976, and is an upcoming star-studded movie. For the first time, it is brought to live in audio in this powerful and moving performance by one of the film's stars, acclaimed actress Thandie Newton.
Playwright, poet, and novelist Ntozake Shange originally composed for colored girls who have considered suicide/when the rainbow is enuf in as a mesmerizingly original choreopoem. The New York Post called it ""rich with the author's special voice: by turns bitter, funny, ironic, and savage; fiercely honest and personal."" Now a new audiobook, it chronicles the interconnected lives of a group of women facing shatteringly difficult issues, and evokes the indomitable power of enduring hope and joy.
Thandie Newton, from the movies Crash, The Pursuit of Happyness, and W., captures each emotion with heartbreaking honesty in a fearless, passionate, and inspiring performance of the author's vivid and lyrical language. The New York Times says ""Ntozake Shange writes with such exquisite care and beauty that anyone can relate to her message.""","Drama","Program Type: Audiobook","","for colored girls who have considered…"
"for colored girls who have considered…","https://www.amazon.com/colored-girls-have-considered-suicide/dp/B004ADO5HC/ref=zg_bs_10248_25/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","","Audible Audiobook","204 customer reviews","-''-","Drama","","English, English","for colored girls who have considered…"
"She Felt Like Feeling Nothing","https://www.amazon.com/She-Felt-Like-Feeling-Nothing/dp/1449494250/ref=zg_bs_10248_26/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","$13.14","Paperback","52 customer reviews","New York Times Bestseller
From the bestselling author of the Whiskey, Words, and a Shovel series comes this poetic reminder of women's strength.
There are moments when the heart no longer wishes to feel because everything it's felt up until then has brought it nothing but anguish. In She Felt Like Feeling Nothing, r.h. Sin pursues themes of self-discovery and retrospection. With this book, the poet intends to create a safe space where women can rest their weary hearts and focus on themselves.","","Language: English","","She Felt Like Feeling Nothing"
"She Felt Like Feeling Nothing","https://www.amazon.com/She-Felt-Like-Feeling-Nothing/dp/1449494250/ref=zg_bs_10248_26/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","r.h. Sin","$13.14","Paperback","52 customer reviews","New York Times Bestseller
From the bestselling author of the Whiskey, Words, and a Shovel series comes this poetic reminder of women's strength.
There are moments when the heart no longer wishes to feel because everything it's felt up until then has brought it nothing but anguish. In She Felt Like Feeling Nothing, r.h. Sin pursues themes of self-discovery and retrospection. With this book, the poet intends to create a safe space where women can rest their weary hearts and focus on themselves.","","","English","She Felt Like Feeling Nothing"
"Inward","https://www.amazon.com/Inward-Yung-Pueblo/dp/1449495753/ref=zg_bs_10248_27/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Yung Pueblo","$11.59","Paperback","88 customer reviews","","Caribbean & Latin American Poetry","Language: English","","Inward"
"Inward","https://www.amazon.com/Inward-Yung-Pueblo/dp/1449495753/ref=zg_bs_10248_27/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","Yung Pueblo","$11.59","Paperback","88 customer reviews","","Caribbean & Latin American Poetry","","English","Inward"
"The Odyssey","https://www.amazon.com/The-Odyssey/dp/B000OYDLE4/ref=zg_bs_10248_28/146-6874321-5242831?_encoding=UTF8&psc=1&refRID=DRW6B1TW9JYHY4XR94FP","","","Audible Audiobook","4,428 customer reviews","","","Program Type: Audiobook","","The Odyssey"
